stop_id,stop_name
740021546,Arnö Herrhagsvägen
740010038,Arnö Mejramvägen
740072775,Arnö norra
740021564,Arnö Strandstuviksvägen
740068216,Arnö vägskäl
740023548,Arnö Örstigsleden
740006853,Arnögården
740068218,Arnölund
740010039,Arnöviken
740076309,Aromas väg
740026445,Aronsjö
740064407,Aronsjökullarna
740037087,Aronstorpsvägen
740051503,Arontorp
740049232,Aroseniusvägen
740043466,Arosvallen
740038231,Arphus
740017385,Arrarp
740017386,Arrarp Östra
740042778,Arrendatorsvägen
740042843,Arrendegatan
740012631,Arrie
740022796,Arrie Bigårdsvägen
740022795,Arrie skolan
740049913,Arrudsvägen
740041997,Arslätt
740064632,Arta
740015539,Artemisgatan
740071883,Artipelagstigen
740060017,Artles torg
740043098,Artorp
740056050,Arvebo
740029424,Arvesund
740025415,Arvet
740048545,Arvet Gammelvägen
740048544,Arvet södra
740048546,Arvheden
740014619,Arvidsjaur busstation
740026021,Arvidsjaur flygplats
740027396,Arvidsjaur hälsocentral
740072943,Arvidsjaur Storgatan Laponia
740072944,Arvidsjaur Storgatan Sandbacken
740043160,Arvidstorp
740058781,Arvika Bergsgatan
740058545,Arvika Bergtrollet
740058473,Arvika Björknäs
740058762,Arvika Björkudden
740058474,Arvika Björns väg
740058765,Arvika Blåsutvägen
740058475,Arvika Blästervägen
740058505,Arvika Brandstation
740025766,Arvika busstation/Solber
740010040,Arvika Busstationen
740058784,Arvika Båthamnen
740058596,Arvika Dotteviksskolan
740058481,Arvika Dungen
740058487,Arvika Gatedammen
740058780,Arvika Glashyttegatan
740058489,Arvika Graningegården
740058579,Arvika Gullrisgatan
740058775,Arvika Gärdesgatan
740058583,Arvika Haga
740058585,Arvika Holmströms väg
740058794,Arvika Hårdsväg
740058730,Arvika Ingesundsvägen
740058636,Arvika Jakobsgatan 19
740058494,Arvika Jakobsgatan 20
740075045,Arvika Jakobsgatan 6-8
740058761,Arvika Jonsbol
740058499,Arvika Karlstadsvägen
740058785,Arvika Klockaregatan
740058787,Arvika Korsets kapell
740058764,Arvika Krötåsen
740058502,Arvika Kvarnen
740058783,Arvika Kvarngatan
740058471,Arvika Kyrkebyskolan
740058613,Arvika Kärringtanden
740058504,Arvika Lerkruset
740058795,Arvika Liljebjörnsväg
740058776,Arvika Ljungåsgatan 10
740058507,Arvika Lofotsvägen
740058752,Arvika Mejerigatan
740058627,Arvika Metkroken
740058510,Arvika Myrstacken
740058774,Arvika Myråsvägen 12
740058748,Arvika Norra Esplanaden
740058605,Arvika Norra Kinna
740058778,Arvika Nypongatan
740058513,Arvika Parkgatan
740058646,Arvika Polishuset
740058515,Arvika Porsgatan
740058650,Arvika Rackstadmuseet
740058518,Arvika Rackstavägen
740058779,Arvika Rosendalsvägen
740058796,Arvika Rösheimsvägen
740058519,Arvika sjukhus huvudentr
740058744,Arvika Skepparegatan
740058773,Arvika Skogsstigen
740058663,Arvika Sluttningen
740034869,Arvika Smedberg
740025772,Arvika Smedjan
740058777,Arvika Smultrongatan
740025771,Arvika Solbergs gränd
740058793,Arvika Solviksvägen 11
740058791,Arvika Solviksvägen 17
740058792,Arvika Solviksvägen 43
740058770,Arvika Solvändsgatan 1
740058527,Arvika Stadsparken
740000221,Arvika station
740043298,Arvika Stefans väg
740058789,Arvika Stenrikevägen 20
740058790,Arvika Stenrikevägen 36
740075046,Arvika Stränggatan
740058678,Arvika Symfonivägen
740058531,Arvika Sågudden
740058786,Arvika Sävsjöbäcken
740058768,Arvika Södra Kinna
740058782,Arvika Taserudsgatan 8
740058688,Arvika Tingshuset
740058751,Arvika Tjäderstigen
740058739,Arvika Tornstigen
740058690,Arvika Tranbärsvägen
740058788,Arvika Trastgatan
740058536,Arvika Verken
740058542,Arvika Verkstaden
740058697,Arvika Viksgården
740058543,Arvika Vildrosgatan
740058763,Arvika Wallinsvägen
740056997,"Arvika, Agnetebergsskola"
740058691,"Arvika, Christian Erikss"
740058701,"Arvika, Christian Erikss"
740058706,"Arvika, Christian Erikss"
740058772,"Arvika, Degerängsvägen 1"
740058738,"Arvika, Fallängsvägen 15"
740058771,"Arvika, Fryksdalsvägen 3"
740058470,"Arvika, Golfbanan"
740058495,"Arvika, Ingesunds Musikh"
740065401,"Arvika, Ingmansvägen"
740058503,"Arvika, Körselviken/V Su"
740065400,"Arvika, Ljungåsgatan"
740076294,"Arvika, Mosseberg"
740076295,"Arvika, Opalen"
740058520,"Arvika, sjukhuset person"
740058483,"Arvika, Swegon"
740058535,"Arvika, Taserudsgymnasie"
740058538,"Arvika, Tobaken"
740058676,"Arvika, Vildrosgatan vän"
